GlobalId,Name,Pset_PCL.PCL ID,Pset_SmartPlant 3D.Description,Pset_SmartPlant 3D.Location,X,Y,Z
0Hlm8fvDj1YPhO5s$QT_mD,Insulation Volume,75e57355-4b72-4507-ae35-fb894471e2b6,"90o elbow, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 131183 mm          N 294052 mm            EL+ 45 mm,131.183,294.052,0.045
36Y_8XHnH59f9PkUiuxMua,Geometry,db6b3032-f35d-465f-8520-5e4c1c9c20b2,"90o elbow, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 125829 mm          N 293070 mm           EL+ 378 mm,125.829,293.07,0.378
24EyIGDcTBnxZKKXk9Mz4O,Insulation Volume,82997734-8511-42f8-97e1-ed85d5a0cb38,"90o elbow, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 125829 mm          N 293070 mm           EL+ 378 mm,125.829,293.07,0.378
2OlTIdzAn06A4D8Bzg94cM,Geometry,a164f16a-1a87-4461-920d-437cace4b493,"Coupling/connector, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 126339 mm          N 294052 mm            EL+ 45 mm,126.339,294.052,0.045
270xfNdoPA2xYhdhXI1pRV,Insulation Volume,b3d84fcf-3a9f-4e23-b855-c9fb35644b4b,"Coupling/connector, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 126339 mm          N 294052 mm            EL+ 45 mm,126.339,294.052,0.045
1Kw8P4WT9FBeN$ErfxsAqM,Geometry,43dabd48-a13b-4d8e-a3c3-70a0ea40f380,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125991 mm          N 294052 mm            EL+ 45 mm,125.991,294.052,0.045
2B8neNL$X4XePZGC_lnRxs,Insulation Volume,e1a980b5-959a-49e0-9871-b0b479656d21,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125991 mm          N 294052 mm            EL+ 45 mm,125.991,294.052,0.045
1MxM3MKlH8nh7N3oDzANi2,Geometry,9995d111-5a98-47af-bb19-30bf0ea85f67,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 131183 mm          N 294052 mm           EL- 201 mm,131.183,294.052,-0.201
2AUFM$Ia19YQ5nJa0_ee4r,Insulation Volume,966c3b20-350b-46ae-af1d-7e69afdb9a28,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 131183 mm          N 294052 mm           EL- 201 mm,131.183,294.052,-0.201
1oJmPwseTC5OH1Ufkl6GLu,Geometry,3ed6aa97-d784-4034-91c3-3ef8089ab6dc,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 128753 mm          N 294052 mm            EL+ 45 mm,128.753,294.052,0.045
3QK$NOEp5CNBXtVJas9XNP,Insulation Volume,02d20809-69d0-4ac8-8fed-10a7b26b0bfc,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 128753 mm          N 294052 mm            EL+ 45 mm,128.753,294.052,0.045
