GlobalId,Name,Pset_PCL.PCL ID,Pset_SmartPlant 3D.Description,Pset_SmartPlant 3D.Location,X,Y,Z,Voxel
2S90sAQaPFf9jsQ2RZOjdG,Insulation Volume,2e1012fc-60fa-4d6e-870d-13e86d32f043,"90o elbow, 500 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 131885 mm          N 303215 mm          EL+ 5954 mm,131.885,303.215,5.954,"Vx(4,6,2)"
2tfYWF$aX9mh5KnFn3_BEy,Geometry,c8723708-ba5c-4a63-84c6-f62b452be4e9,"90o elbow, 500 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 135014 mm          N 303215 mm          EL+ 1794 mm,135.014,303.215,1.794,"Vx(4,6,1)"
3wxKhozEr4EQoyzWtaTq6Y,Insulation Volume,47d76fa3-4843-401d-97ad-7eead24f77b4,"90o elbow, 500 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 135014 mm          N 303215 mm          EL+ 1794 mm,135.014,303.215,1.794,"Vx(4,6,1)"
1rMEvfzIT5aAuHj3FsCbEC,Geometry,22787c0f-abb6-4e36-bf45-af46f06cc96f,"Pipe stock, 500 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 135014 mm          N 303215 mm          EL+ 3874 mm,135.014,303.215,3.874,"Vx(4,6,2)"
0PzecIUtfBshb3yJa$mRFO,Insulation Volume,811103ba-9bae-49a5-9cce-16e01c345524,"Pipe stock, 500 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 135014 mm          N 303215 mm          EL+ 3874 mm,135.014,303.215,3.874,"Vx(4,6,2)"
0L5jdtBzX51PF9XWOTMh0m,Geometry,ec3be514-e0a3-4485-883b-da40b35bdb97,"Pipe stock, 500 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 133450 mm          N 303215 mm          EL+ 5954 mm,133.45,303.215,5.954,"Vx(4,6,2)"
3kuDLIB0L3hvg5V7VsInlV,Insulation Volume,dd168472-5ffa-4e3e-bb79-6dbb6cc9817d,"Pipe stock, 500 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 133450 mm          N 303215 mm          EL+ 5954 mm,133.45,303.215,5.954,"Vx(4,6,2)"
1QVBvDEwH889uJLdVGvi59,101-AIT-2113-1,4b5d1290-5dcf-4ba7-881b-5e30779a866d,SEE INSTRUMENT SUMMARY,E 126125 mm          N 305313 mm          EL+ 2339 mm,126.125,305.313,2.339,"Vx(3,6,1)"
304cmsSwv0$w7lSFdpNpXu,Geometry,0eb81d20-dc36-4d65-aba4-105f56a11dac,"Globe valve,  .5 in, SWE/FTE, Class 800, API trim No. 12, , , API 602, ASTM A350-LF2",E 126125 mm          N 305313 mm          EL+ 2304 mm,126.125,305.313,2.304,"Vx(3,6,1)"
1WbcRpBoT4$9IlDEjbMEsy,Operation Volume,582e5e08-b081-486e-a7a5-1a8fa43fbbc0,"Globe valve,  .5 in, SWE/FTE, Class 800, API trim No. 12, , , API 602, ASTM A350-LF2",E 126125 mm          N 305313 mm          EL+ 2304 mm,126.125,305.313,2.304,"Vx(3,6,1)"
2agQ7v3MT0lhLn_hFaqKv$,Pipe,8f407cad-9119-466f-b63b-15c67ed8d36c,"Pipe stock, 15 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 126125 mm          N 305313 mm          EL+ 2190 mm,126.125,305.313,2.19,"Vx(3,6,1)"
043t9DaNP4theG2XkXrpqm,Sockolet-8463,8b8c52ca-2805-4436-a716-8acc2529e474,"SockoletÃÂ®, reducing, 600 mm x 15 mm, BE/SWE, Class 3000, MSS SP-97, ASTM A350-LF2",E 126125 mm          N 305313 mm          EL+ 1794 mm,126.125,305.313,1.794,"Vx(3,6,1)"
3PCYop5Mf5$OgRxzZLK5fP,Geometry,dc073a77-756c-43cf-be52-423d12d1d8b6,"Pipe stock, 600 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 126125 mm          N 305313 mm          EL+ 1794 mm,126.125,305.313,1.794,"Vx(3,6,1)"
2rVDuxTbLD28TxNLNIo6Kv,Insulation Volume,d7e9664d-70d8-4268-9288-ac37514d8e39,"Pipe stock, 600 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 126125 mm          N 305313 mm          EL+ 1794 mm,126.125,305.313,1.794,"Vx(3,6,1)"
1kPWnmJ5T3Ox2tDcupyp3m,Geometry,4014fd8d-b9ce-4df6-841f-87a3f307a8e9,"Concentric reducer, 750 mm x 600 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 126125 mm          N 304663 mm          EL+ 1794 mm,126.125,304.663,1.794,"Vx(3,6,1)"
2jx4RW6Rj40eZx4coC_blz,Insulation Volume,ae921c27-4159-4c2b-a0ad-98298ff6bba8,"Concentric reducer, 750 mm x 600 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 126125 mm          N 304663 mm          EL+ 1794 mm,126.125,304.663,1.794,"Vx(3,6,1)"
3XOOt7J9T8seQlIrk8wCMx,Geometry,10c10dbb-e898-449f-9a78-2badbdbe6af8,"90o elbow, 750 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 126125 mm          N 303215 mm          EL+ 4881 mm,126.125,303.215,4.881,"Vx(3,6,2)"
2jLpdJ_Nz3nRisNZGWyXkR,Insulation Volume,f8de2158-52cd-407d-9632-c7e4f309851b,"90o elbow, 750 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 126125 mm          N 303215 mm          EL+ 4881 mm,126.125,303.215,4.881,"Vx(3,6,2)"
2hH4dZlU50VAhs$u0r7O89,Geometry,4890372b-216e-46b8-9dc8-5d68c0e3f86e,"90o elbow, 750 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 126125 mm          N 303215 mm          EL+ 1794 mm,126.125,303.215,1.794,"Vx(3,6,1)"
0qoY71kIj8OALDLYrcQ3qX,Insulation Volume,8f76b723-3a79-4e5a-8eab-04de93460d2a,"90o elbow, 750 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 126125 mm          N 303215 mm          EL+ 1794 mm,126.125,303.215,1.794,"Vx(3,6,1)"
1xapzGd1v0cfeRq1WP9kEr,Geometry,0a548da4-2b77-4558-a35c-3baa2fc4790e,"Weld neck flange, 750 mm, RFFE/BE, Class 150, ASME B16.47 Series A, ASTM A350-LF2",E 115074 mm          N 303215 mm          EL+ 4881 mm,115.074,303.215,4.881,"Vx(2,6,2)"
3b3aDjsbb2_AfGgf_IN_PI,Insulation Volume,f1fb5354-be1c-4caf-9698-406e4adfc0f7,"Weld neck flange, 750 mm, RFFE/BE, Class 150, ASME B16.47 Series A, ASTM A350-LF2",E 115074 mm          N 303215 mm          EL+ 4881 mm,115.074,303.215,4.881,"Vx(2,6,2)"
2emhjvlsP68ButQPpd8Tr1,Geometry,93ce5930-d9c9-4feb-9b67-7eb3fe71cf18,"Pipe stock, 750 mm, BE, S-STD, ASME-B36.10M, ASTM A671 Grade CC60 Class 32, Electric fusion welded, longitudinal seam, 100% joint quality",E 118069 mm          N 303215 mm          EL+ 4881 mm,118.069,303.215,4.881,"Vx(2,6,2)"
0fV3JD4Q58_eDLEPrZwuMn,Insulation Volume,400866ae-a344-4331-8aaf-9f1ddd0eee3d,"Pipe stock, 750 mm, BE, S-STD, ASME-B36.10M, ASTM A671 Grade CC60 Class 32, Electric fusion welded, longitudinal seam, 100% joint quality",E 118069 mm          N 303215 mm          EL+ 4881 mm,118.069,303.215,4.881,"Vx(2,6,2)"
1OX5SUtQ1BrR47pz9F97e_,Geometry,2317655f-6cfe-475e-939b-ed4780613fba,"Pipe stock, 750 mm, BE, S-STD, ASME-B36.10M, ASTM A671 Grade CC60 Class 32, Electric fusion welded, longitudinal seam, 100% joint quality",E 126125 mm          N 303215 mm          EL+ 3337 mm,126.125,303.215,3.337,"Vx(3,6,1)"
0Ivdsp3bT0uxPa1h_5x$69,Insulation Volume,57ef1c1f-6c7c-42e8-af84-eb38a751bd51,"Pipe stock, 750 mm, BE, S-STD, ASME-B36.10M, ASTM A671 Grade CC60 Class 32, Electric fusion welded, longitudinal seam, 100% joint quality",E 126125 mm          N 303215 mm          EL+ 3337 mm,126.125,303.215,3.337,"Vx(3,6,1)"
2GLzrSlgL2meBkX8sN$RNe,Geometry,672c0a63-a575-4100-815b-812bb31b5088,"Pipe stock, 750 mm, BE, S-STD, ASME-B36.10M, ASTM A671 Grade CC60 Class 32, Electric fusion welded, longitudinal seam, 100% joint quality",E 128468 mm          N 305047 mm          EL+ 1794 mm,128.468,305.047,1.794,"Vx(3,6,1)"
02GlVwe4H8ouoqHTZIPikR,Insulation Volume,1332a681-9d57-4dbd-acff-4ab556568a3a,"Pipe stock, 750 mm, BE, S-STD, ASME-B36.10M, ASTM A671 Grade CC60 Class 32, Electric fusion welded, longitudinal seam, 100% joint quality",E 128468 mm          N 305047 mm          EL+ 1794 mm,128.468,305.047,1.794,"Vx(3,6,1)"
3SXJvwK95BfxQrDijBFiM9,101-MV-1012,935077bd-9019-4357-8e2f-d8795e17ac2e,SEE INSTRUMENT SUMMARY,E 127860 mm          N 304794 mm           EL+ 691 mm,127.86,304.794,0.691,"Vx(3,6,1)"
2yviUiVID51AOUyStEfSRE,Geometry,dd469710-21b6-4bbf-8c23-af829b7a5494,"Gate valve, 1 in, SWE/FTE, Class 800, API trim No. 12, , , API 602, ASTM A350-LF2",E 127860 mm          N 304794 mm           EL+ 725 mm,127.86,304.794,0.725,"Vx(3,6,1)"
0JKa3HLGL0qwzhSA78lKnJ,90 Degree Direction Change-100031,595344ca-ea72-4047-9544-0b5fe102b0b3,"90o elbow, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 127618 mm          N 305389 mm          EL+ 7417 mm,127.618,305.389,7.417,"Vx(3,6,2)"
1chIvgJy97qA6byNjN$WJV,90 Degree Direction Change-100032,1eba5e85-cde7-4bd8-b523-f0a4743cdd8a,"90o elbow, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 127618 mm          N 305389 mm          EL+ 1917 mm,127.618,305.389,1.917,"Vx(3,6,1)"
3IeHVpJt17$x0jt7w744ju,90 Degree Direction Change-43474,b6fcfe9b-8d59-46f8-9c99-741de7897d17,"90o elbow, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 127618 mm          N 304794 mm          EL+ 1917 mm,127.618,304.794,1.917,"Vx(3,6,1)"
2sSO_w62n9gOVz$Zm71tcI,90 Degree Direction Change-43475,4c181a99-1b1e-4284-b18f-5712031d3743,"90o elbow, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 127860 mm          N 304794 mm          EL+ 1917 mm,127.86,304.794,1.917,"Vx(3,6,1)"
2DQqhkerfBwvU_JdszP2eQ,90 Degree Direction Change-98573,321b0517-1faa-43c5-9568-16157b31665c,"90o elbow, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 127618 mm          N 304750 mm          EL+ 7417 mm,127.618,304.75,7.417,"Vx(3,6,2)"
1BOR9gcLb3BgmVygN5GNtL,Coupling-5951,5ca5f440-52f7-415d-b1c3-b8289cd05d4b,"Coupling/connector, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 115599 mm          N 304750 mm          EL+ 7417 mm,115.599,304.75,7.417,"Vx(2,6,2)"
22ppcGhYj1UwAmxvHaC7Oc,Coupling-5952,38252039-7855-4b1f-a52c-85fc41cce75e,"Coupling/connector, 25 mm, SWE, Class 3000, ASME-B16.11, ASTM A350-LF2",E 121612 mm          N 304750 mm          EL+ 7417 mm,121.612,304.75,7.417,"Vx(3,6,2)"
28tukXTc17O93YlxLGeqVk,Pipe,da468707-0fc4-44f1-8156-260d8a8f1ffe,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 118606 mm          N 304750 mm          EL+ 7417 mm,118.606,304.75,7.417,"Vx(2,6,2)"
2pEellMnb1AAp3I$SJc3G0,Pipe,b5f59069-ba69-414f-a174-0168fe6a7901,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 114339 mm          N 304750 mm          EL+ 7417 mm,114.339,304.75,7.417,"Vx(2,6,2)"
2WmqDWO4H0ZghpXpCJD3eU,Pipe,c0084042-9dee-4995-86d1-083fba9af8f8,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 124607 mm          N 304750 mm          EL+ 7417 mm,124.607,304.75,7.417,"Vx(3,6,2)"
2YGmH7Z7nBBf_NT3qKkw3t,Pipe,657b25ea-8278-46b9-b415-542f4b1a6bee,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 127618 mm          N 305389 mm          EL+ 4667 mm,127.618,305.389,4.667,"Vx(3,6,2)"
0oaFHBBLz3tRTjW2JvQPMQ,Pipe,93bc6758-c72d-4c34-8276-9fc410fed0a6,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 127860 mm          N 304794 mm          EL+ 1329 mm,127.86,304.794,1.329,"Vx(3,6,1)"
3BIVxH0sPFFx9fcGWAYcZG,Pipe,f69e1425-6cfe-403a-bdbc-f03c1c05ad3b,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 127739 mm          N 304794 mm          EL+ 1917 mm,127.739,304.794,1.917,"Vx(3,6,1)"
0KQst_0kf8WehrIFcqYUwN,Pipe,359869e2-5e06-41cd-8f92-dc810d5deed5,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 127618 mm          N 305091 mm          EL+ 1917 mm,127.618,305.091,1.917,"Vx(3,6,1)"
3igX2RaFLDAhdua4l2hsmX,Pipe,49c7128e-f0aa-4ed2-af73-0a27c693e74c,"Pipe stock, 25 mm, PE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 127618 mm          N 305070 mm          EL+ 7417 mm,127.618,305.07,7.417,"Vx(3,6,2)"
0R4gCzZszE0Bn0eK_$BJr_,Geometry,5c916f7c-eb04-425d-8fd1-b5747c11711b,"45o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 134594 mm          N 304446 mm          EL+ 3689 mm,134.594,304.446,3.689,"Vx(4,6,1)"
3YrCgkmy17FeOvN7wjLwS$,Insulation Volume,173ac8dc-d941-443a-9404-29bf35c12e31,"45o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 134594 mm          N 304446 mm          EL+ 3689 mm,134.594,304.446,3.689,"Vx(4,6,1)"
38JmLikEHArAShBxdGSgNw,Geometry,9458d712-2f41-40b6-be17-b580cc07db39,"90o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 134594 mm          N 304446 mm          EL+ 7634 mm,134.594,304.446,7.634,"Vx(4,6,2)"
1tXez3O4L9ru8YiMS47WX$,Insulation Volume,be53a59a-b208-423e-805b-8bc7dd178fc9,"90o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 134594 mm          N 304446 mm          EL+ 7634 mm,134.594,304.446,7.634,"Vx(4,6,2)"
2Q1_BdRBr1JxWsV86_YpVJ,Geometry,6ed91e1a-6682-415b-8993-43521fbb18e2,"90o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 134594 mm          N 303951 mm          EL+ 3194 mm,134.594,303.951,3.194,"Vx(4,6,1)"
0XT_Cw6sLB3etdqliDmj8z,Insulation Volume,432a00bd-3bf8-4c7c-a2bd-17c1ed035e6e,"90o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 134594 mm          N 303951 mm          EL+ 3194 mm,134.594,303.951,3.194,"Vx(4,6,1)"
0DhY37Fjj3RPClli1wD5GK,Geometry,90924e8d-db34-4e5a-a4e1-9d65104f05a5,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 123859 mm          N 304446 mm          EL+ 7634 mm,123.859,304.446,7.634,"Vx(3,6,2)"
3rofAypGz4yvDCZv$xLofz,Insulation Volume,edb72f4b-17c6-42d8-b062-b6cbeb870f47,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 123859 mm          N 304446 mm          EL+ 7634 mm,123.859,304.446,7.634,"Vx(3,6,2)"
2gpQm_W4D9xerUyX2C89yK,Geometry,6e56b1c9-363f-434f-9faf-5effae954a5f,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 134594 mm          N 304446 mm          EL+ 5595 mm,134.594,304.446,5.595,"Vx(4,6,2)"
1YUDGBuHD6oeVN7q_sHQtS,Insulation Volume,c99d2fd1-49a5-4beb-8170-98ccb4ba2c9e,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 134594 mm          N 304446 mm          EL+ 5595 mm,134.594,304.446,5.595,"Vx(4,6,2)"
09M46JQWX78B9jlxIpk_c5,Geometry,03b8c49d-897f-4dc8-8a56-87c6ef1e3a39,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 134594 mm          N 304246 mm          EL+ 3489 mm,134.594,304.246,3.489,"Vx(4,6,1)"
1kDQWWyFbC9ufxciAhnKGs,Insulation Volume,4473f3b3-9a4f-48b1-9e4b-b41f446ac13c,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 134594 mm          N 304246 mm          EL+ 3489 mm,134.594,304.246,3.489,"Vx(4,6,1)"
3BAUy5QE14$Q5r6Gtq4v8d,Custom Aspect type 72,026e461d-4aa7-410f-a18f-1af83d2f6648,SOLENOID VALVE JUNCTION BOX,E 121611 mm          N 295597 mm          EL+ 1057 mm,121.611,295.597,1.057,"Vx(3,5,1)"
0xAVJmk999jhHXnyiBvntg,Geometry,2ac75b65-2ea0-4817-ad16-d12d65e1988d,SOLENOID VALVE JUNCTION BOX,E 121611 mm          N 295597 mm          EL+ 1057 mm,121.611,295.597,1.057,"Vx(3,5,1)"
2d9Fvu68PEARFTwpD2J6zA,Custom Aspect type 72,d383af92-ade0-4c92-a844-69cc8f338e25,DCS REMOTE I/O PANEL,E 121968 mm          N 296225 mm          EL+ 1143 mm,121.968,296.225,1.143,"Vx(3,5,1)"
23rDULCVD9RfbbLqdsojal,Geometry,7a2873c5-9a29-451a-9773-215a76fcfeb6,DCS REMOTE I/O PANEL,E 121968 mm          N 296225 mm          EL+ 1143 mm,121.968,296.225,1.143,"Vx(3,5,1)"
0Rn2qFFHPCHhw_q6UIT0$9,Geometry,89cef22a-216d-4159-9959-ba6263696801,,E 121378 mm          N 284133 mm          EL+ 1278 mm,121.378,284.133,1.278,"Vx(3,4,1)"
0xWDjZpPf1jurywYEvZueg,Geometry,ac6c75fa-f61b-42c0-9ce5-f55a28a1f4bb,,E 126174 mm          N 294281 mm          EL+ 1278 mm,126.174,294.281,1.278,"Vx(3,5,1)"
1jEREgRcbEp95YTjdxOgdZ,Custom Aspect type 72,0d8db38f-954f-46c1-8f90-6bd2b6a3a3c8,,E 126174 mm          N 294306 mm            EL- 72 mm,126.174,294.306,-0.072,"Vx(3,5,1)"
1bgpK96mXFzvW85ItlzUgE,Geometry,77c43f1c-e63d-4023-8577-698c1dc9806c,,E 126174 mm          N 294306 mm            EL- 72 mm,126.174,294.306,-0.072,"Vx(3,5,1)"
3cB3j0f4r5t8gxTO2lJGk3,Geometry,97312088-6dbb-4ce7-9f6d-a4849c97e9d7,,E 122042 mm          N 283199 mm          EL+ 1278 mm,122.042,283.199,1.278,"Vx(3,4,1)"
3HYV6bawL9VuQUOtLsxDGw,Custom Aspect type 72,71866a4d-279c-4c5b-a12d-91a2906c06c3,,E 122042 mm          N 283224 mm            EL- 72 mm,122.042,283.224,-0.072,"Vx(3,4,1)"
0XpJh8QJ58yRS$j4ooF1gT,Geometry,7906d68b-7ad7-4b1d-9a79-3cb355e68b20,,E 122042 mm          N 283224 mm            EL- 72 mm,122.042,283.224,-0.072,"Vx(3,4,1)"
2RchxpOc1DgPHIHwWV$w$G,Geometry,a131acfb-5466-459a-b2c2-2e05311b41a4,Transmitter,E 121408 mm          N 283633 mm          EL+ 1278 mm,121.408,283.633,1.278,"Vx(3,4,1)"
1Nqp$hH1TAR9w5BxMlFx8T,Custom Aspect type 72,a7f98c0b-124f-49d7-b6bd-604539a6e65c,,E 121393 mm          N 283883 mm            EL- 72 mm,121.393,283.883,-0.072,"Vx(3,4,1)"
0bM6MoUkvCHxc7mInKafMP,Geometry,fe5776b1-bb29-4aa7-9247-3da6ebb5ba50,,E 121393 mm          N 283883 mm            EL- 72 mm,121.393,283.883,-0.072,"Vx(3,4,1)"
3shEsnsSr7agSGLyKSUKxl,Custom Aspect type 72,7456f5f6-ab58-4a47-81f5-e20692334636,,E 126174 mm          N 293051 mm            EL- 72 mm,126.174,293.051,-0.072,"Vx(3,5,1)"
3vLLX1J396whgpY1GXgWyx,Geometry,4280eb5d-e2c6-49e3-b41d-593037e12af6,,E 126174 mm          N 293051 mm            EL- 72 mm,126.174,293.051,-0.072,"Vx(3,5,1)"
